PERIODO;COD;DESCRIPCION;LABORATORIO;COSTO;UND_VEND;VLR_VENTA;UTILIDAD;RENTABILIDAD;CLASIFICACION;PRECIO_UNITARIO;COSTO_UNITARIO;MARGEN_UNITARIO
ABRIL-2025;304;DIANE 35 X 21 TAB;BAYER;1040130.0;105.0;1040130.0;0.0;0.0;BAJO;9906.0;9906.0;0.0
ABRIL-2025;7187;ACONDICIONADOR ROMERO Y QUINA X 450 ML;SAMARA;25413.0;1.0;25413.0;0.0;0.0;BAJO;25413.0;25413.0;0.0
ABRIL-2025;7186;SHAMPOO ROMERO Y QUINA X 450 ML;SAMARA;20439.0;1.0;20439.0;0.0;0.0;BAJO;20439.0;20439.0;0.0
ABRIL-2025;6416;VENDA FIJA 2 X 4;SUPERTEX;4400.0;2.0;4400.0;0.0;0.0;BAJO;2200.0;2200.0;0.0
ABRIL-2025;4862;NORAVER SPRAY X 120 ML CEREZA;TECNOQUIMICAS;49033.0;1.0;49500.0;467.0;0.94;BAJO;49500.0;49033.0;467.0
ABRIL-2025;7166;HIDROCLOROTIAZIDA 25 MG X 30 TAB;MEMPHIS;9100.0;3.0;9300.0;200.0;2.15;BAJO;3100.0;3033.33;66.67
ABRIL-2025;3378;NEUROBION DOBLE CAMARA X 3 AMP;MERCK S.A;386874.0;3.0;395400.0;8526.0;2.16;BAJO;131800.0;128958.0;2842.0
ABRIL-2025;2762;MOVIDOL X 48 TAB;LAFRANCOL;44767.0;1.0;46000.0;1233.0;2.68;BAJO;46000.0;44767.0;1233.0
ABRIL-2025;2491;FLUCONAZOL 200 MG X 5 CAPS;AMERICAN G;45405.0;6.0;47400.0;1995.0;4.21;BAJO;7900.0;7567.5;332.5
ABRIL-2025;9000761;AMPICILINA 500 MG X 100 CAPS;LA SANTE;419965.0;13.0;439400.0;19435.0;4.42;BAJO;33800.0;32305.0;1495.0
ABRIL-2025;1795;FLUCONAZOL 200 MG X 4 CAPS;GENFAR;42871.0;4.0;44928.0;2057.0;4.58;BAJO;11232.0;10717.75;514.25
ABRIL-2025;6878;BOLSO PARA BOTIQUIN GRANDE;LABORATORIOS;472269.0;10.0;495000.0;22731.0;4.59;BAJO;49500.0;47226.9;2273.1
ABRIL-2025;4096;VITAMINA E 400 U.I X 30 CAPS;PROCAPS;67830.0;4.0;71200.0;3370.0;4.73;BAJO;17800.0;16957.5;842.5
ABRIL-2025;6598;PREGABALINA 75 MG X 14 CAPS (LYRICA);PFIZER;54254.0;2.0;57600.0;3346.0;5.81;BAJO;28800.0;27127.0;1673.0
ABRIL-2025;9000839;VENDA ELASTICA 2 X 5 PIEL;ZIBOJECT;7200.0;6.0;7800.0;600.0;7.69;BAJO;1300.0;1200.0;100.0
ABRIL-2025;199;ANEMIDOX X 30 CAPS;MERCK S.A;121824.0;1.0;132600.0;10776.0;8.13;BAJO;132600.0;121824.0;10776.0
ABRIL-2025;2168;MILPAX SUSP X 360 ML CEREZA;GRUPO FARMA;303578.0;6.0;333000.0;29422.0;8.84;BAJO;55500.0;50596.33;4903.67
ABRIL-2025;7022;NEUROBION SIMPLE X 3 AMP;MERCK S.A;46922.0;1.0;51500.0;4578.0;8.89;BAJO;51500.0;46922.0;4578.0
ABRIL-2025;4562;FYBOFORT PSYLLIUM X 12 SOBRES;NATURAL FRESHLY;28495.0;1.0;31300.0;2805.0;8.96;BAJO;31300.0;28495.0;2805.0
